Player,IMG,Year,Age,Tm,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
Tony Romo,,2012,32,DAL,QB,16,16,8-8-2000,425,648,65.6,4903,28,4.3,19,2.9,85,7.6,7.1,11.5,306.4,90.5,65.4,36,263,5.3,6.78,6.35,5,5
Dak Prescott,,2019,26,DAL,QB,16,16,8-8-2000,388,596,65.1,4902,30,5,11,1.8,62,8.2,8.4,12.6,306.4,99.7,71.9,23,151,3.7,7.68,7.84,,
Dak Prescott,,2023,30,DAL,QB,17,17,12-5-2000,410,590,69.5,4516,36,6.1,9,1.5,92,7.7,8.2,11,265.6,105.9,72.7,39,255,6.2,6.77,7.28,2,3
Tony Romo,,2009,29,DAL,QB,16,16,11-5-2000,347,550,63.1,4483,26,4.7,9,1.6,80,8.2,8.4,12.9,280.2,97.6,65.5,34,196,5.8,7.34,7.54,3,3
Dak Prescott,,2021,28,DAL,QB,16,16,11-5-2000,410,596,68.8,4449,37,6.2,10,1.7,51,7.5,8,10.9,278.1,104.2,60.5,30,144,4.8,6.88,7.34,1,2
Tony Romo,,2007,27,DAL,QB,16,16,13-3-0,335,520,64.4,4211,36,6.9,19,3.7,59,8.1,7.8,12.6,263.2,97.4,76.9,24,176,4.4,7.42,7.17,2,2
Tony Romo,,2011,31,DAL,QB,16,16,8-8-2000,346,522,66.3,4184,31,5.9,10,1.9,77,8,8.3,12.1,261.5,102.5,69,36,227,6.5,7.09,7.4,4,4
Danny White,,1983,31,DAL,QB,16,16,12-4-2000,334,533,62.7,3980,29,5.4,23,4.3,80,7.5,6.6,11.9,248.8,85.6,,37,314,6.5,6.43,5.63,2,2
Dak Prescott,,2018,25,DAL,QB,16,16,10-6-2000,356,526,67.7,3885,22,4.2,8,1.5,90,7.4,7.5,10.9,242.8,96.9,55.2,56,347,9.6,6.08,6.22,3,5
Tony Romo,,2013,33,DAL,QB,15,15,8-7-2000,342,535,63.9,3828,31,5.8,10,1.9,82,7.2,7.5,11.2,255.2,96.7,61.9,35,272,6.1,6.24,6.54,2,4
Tony Romo,,2014,34,DAL,QB,15,15,12-3-2000,304,435,69.9,3705,34,7.8,9,2.1,68,8.5,9.1,12.2,247,113.2,79.2,29,215,6.3,7.52,8.11,3,4
Dak Prescott,,2016,23,DAL,QB,16,16,13-3-0,311,459,67.8,3667,23,5,4,0.9,83,8,8.6,11.8,229.2,104.9,77.6,25,143,5.2,7.28,7.86,5,5
Drew Bledsoe,,2005,33,DAL,QB,16,16,9-7-2000,300,499,60.1,3639,23,4.6,17,3.4,71,7.3,6.7,12.1,227.4,83.7,,49,295,8.9,6.1,5.55,4,5
Roger Staubach,,1979,37,DAL,QB,16,16,11-5-2000,267,461,57.9,3586,27,5.9,11,2.4,75,7.8,7.9,13.4,224.1,92.3,,36,240,7.2,6.73,6.82,4,4
Vinny Testaverde,,2004,41,DAL,QB,16,15,5-10-2000,297,495,60,3532,17,3.4,20,4,53,7.1,6,11.9,220.8,76.4,,34,182,6.4,6.33,5.27,2,3
Tony Romo,,2008,28,DAL,QB,13,13,8-5-2000,276,450,61.3,3448,26,5.8,14,3.1,75,7.7,7.4,12.5,265.2,91.4,60.8,20,123,4.3,7.07,6.84,2,2
Troy Aikman,,1992,26,DAL,QB,16,16,13-3-0,302,473,63.8,3445,23,4.9,14,3,87,7.3,6.9,11.4,215.3,89.5,,23,112,4.6,6.72,6.38,1,1
Dak Prescott,,2017,24,DAL,QB,16,16,9-7-2000,308,490,62.9,3324,22,4.5,13,2.7,81,6.8,6.5,10.8,207.8,86.6,70,32,185,6.1,6.01,5.74,0,4
Troy Aikman,,1995,29,DAL,QB,16,16,12-4-2000,280,432,64.8,3304,16,3.7,7,1.6,50,7.6,7.7,11.8,206.5,93.6,,14,89,3.1,7.21,7.22,2,2
Quincy Carter,,2003,26,DAL,QB,16,16,10-6-2000,292,505,57.8,3302,17,3.4,21,4.2,64,6.5,5.3,11.3,206.4,71.4,100,37,185,6.8,5.75,4.63,2,2
