EPAP,Opp,Week,Game,Player
0.55,CHI,1,1,Love
0.41,ATL,2,2,Love
0.11,NO,3,3,Love
-0.25,DET,4,4,Love
-0.41,LV,5,5,Love
0.3,DEN,7,6,Love
-0.18,MIN,8,7,Love
0.25,LAR,9,8,Love
0.12,PIT,10,9,Love
0.24,LAC,11,10,Love
0.39,DET,12,11,Love
0.38,KC,13,12,Love
-0.07,NYG,14,13,Love
0.12,TB,15,14,Love
0.47,CAR,16,15,Love
0.4,MIN,17,16,Love
0.32,CHI,18,17,Love
1.13,DAL,19,18,Love
0.04,SF,20,19,Love
-0.26,BAL,1,1,Stroud
0.09,IND,2,2,Stroud
0.47,JAX,3,3,Stroud
0.37,PIT,4,4,Stroud
0.1,ATL,5,5,Stroud
0.12,NO,6,6,Stroud
0.14,CAR,8,7,Stroud
0.47,TB,9,8,Stroud
0.14,CIN,10,9,Stroud
0.1,ARI,11,10,Stroud
0.08,JAX,12,11,Stroud
-0.05,DEN,13,12,Stroud
-0.45,NYJ,14,13,Stroud
NA,TEN,15,14,Stroud
NA,CLE,16,15,Stroud
0.09,TEN,17,16,Stroud
0.45,IND,18,17,Stroud
0.67,CLE,19,18,Stroud
-0.14,BAL,20,19,Stroud
